cluster_id,summary,original_reviews
9,"these work in those 2 devices and some other devices seem to like the slower cards. but they do not work well when taking pictures or video if the sd adapter had built in wifi, he would only need to buy one wifi card and simply replace it with these micro-chips.","['i bought these for my kids tablets and for their action cameras. they work in those 2 devices. some other devices seem to like the slower cards.', 'i use these in my tablet as well as my camera. i find slower speed cards do not work well when taking pictures or video. it would be nice if the sd adapter had built in wifi, that way for my dslr, i would only need to buy one wifi card and simply replace it with these micro sd cards and save money.', 'the product is excellent, so far. it fits my smartphone and tablet also excellent in recording in hd also performing on an hd monitor.so far, all sandisk cards regular and micro, have performed very well.excellent for my needs. i use three sizes 8 gigs for my archos mp player and 16 32 gigs for my smartphone and tablet.my no name tablet has a micro hdmi port that works very well.', 'if you have a microsoft surface or phone that takes these. i use it in my elago drive and nikon dslr.']"
10,"adapter works great when moving files from my computer to my cell phone. this card works well in my galaxy note 3 to store music, files, etc.","['this is a great buy. it work just fine and i use it everyday in my cell phone. the adapter is great when moving files from my computer to my cell phone. will buy again if the opportunity presents itself.', ""i have used many memory devices from sandisk, as well as a couple of sansa mp3 players. this card lives up to my expectations. it works well in my samsung galaxy s3 phone. i haven't bothered with the adapter, but i have no doubt it does its job. it is nice to have it just in case i need to read the card outside the phone."", 'a very good product and very useful for my smart phone, adapter works fine.recomended for all th smart phones that can expand to 64 gb', ""works great. use it in my galaxy note 3 to store music, files, etc. the adapter is handy for transferring files from pc to card without using a usb cable and going through the phone seems to go faster. still can't believe they can cram 64 gb shows up as just under 60 on the phone, by the way on something the size of a fingernail."", 'works great. adapter makes it easy to load music, ebooks, pictures and movies onto card for use on a phone or tablet.', ""i wanted a place to store my music on my phone. this card works great. i haven't tried the adapter yet, though.also, so much storage!"", 'works perfectly. i can take the microsdhc from my galaxy player and use the adaptor to plug it into my imac with no problem at all.']"
11,"speed is a big improvement over the 32gb card. these are excellent sd cards for phones, cameras or whatever else you have that takes 'a micro d'","['great value for extra storage on cell phones. adapter included with memory disk allows easy interface with standard computer card reader interfaces.', ""i just bought two of these for our two new samsung galaxy iv smart phones. the adapters will make it possible for the card readers on our computers to accept these microsd cards if we find it worthwhile to pull them out of the phone case rather than use the usb 34 dongle 34 to move information on and off the phones, but.. most importantly, now i don't worry about storing audio books, favorite playlists, and video clips i might want to show someone on the phones."", 'can be used with my phone as well as with my computers, thanks to the included adapter. i use these to back up store pictures and documents instead of a separate external hard drive... i just put a number on the disk, as well as a numbered label on the plastic storage case it comes with, so i can remember what is on which disk. easy to use and store!', 'a must for any device when u need extra space, adapter allows easy transfer of info such as pictures, music or documents', ""i have both a pad and a phone. with one of these in each i can take the card out and read it directly on my computer. also if i wnat to load some pictures or movies, i just put them on the card and put it back in the pad or phone. i don't need to subscribe to looney tunes or whatever they call it. i can just put on or take off what i want without a third party being involved. very nice indeed."", 'the micro disk fit my samsung phone perfectly by itself and i was able to use the adapter to fit it to my hp computer to transfer my tunes to my phone. great product and price. i especially like the 34 green 34 packaging. so much easier to access the product and no wasteful plastic. highly recommend it.', 'very usefull to use in the phone also they come with the adpator to sd i will remomend it', 'item arrived faster than expected, and works great as additional memory on my cell phone. comes with adapter to use in regular sd card slots, which came in handy when transferring data from old card to new card. a', 'unless your really stringent on form factor and negligible speed always get these with the adapter. some phones do not transfer data that quickly and the adapter is a life saver. always have it in my pc when dumping large files. speed is actually a big improvement over the 32gb card.', 'these are excellent sd cards for phones, cameras or whatever else you have that takes a micro sd card. they work perfect with the adapter too!']"
12,"so far i have not had any problems with this memory, the transfer speed is good and it works just great on my samsung note 8 perfect in every sense. since upgrading to this microsdhc it has no lag in playback and document storage retrieval is quick not a lot to say about the memory.","['so far i have not have any problems with this memory, the transfer speed is good and it works just great on my samsung note 8', 'perfect in every sense. i use it mainly for accessing my music and since i upgraded to this microsdhc i have found my samsung galaxy s3 has no lag in playback and document storage retrieval is quick', 'not a lot to say about this memory. sits in my s4 phone with no issues. does not appear to have any lags.']"
13,"sandisk counterfeiters have gotten really sneaky in recent years. i buy a used phone or e reader that needs memory card - and it works so far so well. this is my first, if you have any other brands, you can use this one in your tablet, camera and computer.","[""i use this for a raspberry pi, in the sd adapter, and it works so far.also appeared to be the genuine part, although the prolific sandisk counterfeiters have gotten really sneaky in recent years.i like getting microsdhc cards because they can be adapted to different device sizes. for example, let's say i buy a used phone or e reader that needs a memory card, and i'm not using my pi i can just take the pi's card, take it out of the adapter, and put it in the other device, rather than pay more money and wait a week for delivery of a new one."", ""this is my first sandisk card, i have a bunch of other brands. i use this one in a tablet. it works great! really love the lifetime warranty that's included. so far so good!"", 'i have bought several of these and find they do just what they are designed to hence 5 stars. i recommend this memory card for any electronic device that requires a micro sdhc card and from past experience find that sandisk is a reputable name brand.', 'i have purchased several sandisk sd cards for its reliability and function. this is just one of the purchases and i will be ordering more. it works for my tablet, camera and computer. love it !', 'full disclosure i use no other brand of sd card other than sandiskhaving said that, i was pleased to discover an sd card designed for people who demand fast transfer speeds for hd video applications. i purchased this item for my tablet pc and have been pleased with its functionality. the adapter is great for accessing via computer to transfer files directly if usb is not desired.']"
14,if you dont know that this is a memory card then i would recommend checking out something by fisher price.,"['holds a lot of memory. slides right into my car cam with no problem and easy to get out as well', 'holds stuff, and if you need anything further for a review then i am sorry. if you dont know that this is a memory card and hold stuff then i would recommend checking out something by fisher price.', 'holds lots of video memory. small, compact and convenience for travel. due to the small size need to remember where you place it.']"
15,"the microsdhc card is very small as one would expect from micronaming. the price could be little bit more cheaper since there are lots of generic versions out there! if used on my cell phone, cant attest to how quickly it can write, but it's not as fast as the standard card.","[""this item was priced right and fit right into my cell phone without any issues. does what it is suppose to do and i don't know what else i could say. being a class 10 it is suppose to be plenty fast for cell phone use which i am sure speeds up camera use to some degree. has worked well and the shipping was fast."", ""i bought two of these for my laptop and my camera and they're working great so far, good speed. 100 happy with this purchase."", ""speed squeaks in at a bare minimum of a class 10. good for tablets and smartphones wouldn't recommend it for picture or video camera's"", 'not much to say about this other than it works fine. the included adapter was difficult to remove the microsdhc card from, but that may be due to my big fingers plus the card is very small as one would expect from micro naming . the speed is more than adequate with no buffering issues noticed from video capture on a phone at hd 720 resolution. recommended.', 'i like it for using on my cell phone. if used on camera, it is slower then the 34 extreme 34 version.', 'very fast for taking full hd videos, and for transfering to the pc. great quality, zero problems at all. a legit product from sandisk!', 'get it 9.9,so worthful.speed is fine , camera can use it with the adapter. so useful, i love it !', 'above average speed and perfect for the photographer needing ample file space. can easily be used as a micro or sd card in different format cameras. fair pricing.cons none', ""there's not much to say about this product, other than it works perfectly as it should. i originally bought this for a tablet that had an expansion slot, but i returned that for another tablet without one. so i thought i didn't have a use for this card anymore, but i was wrong. it turns out that when you put it in it's full size sd card adapter, it even works perfectly in my nikon d90 dslr. up until now i had been using a standard 8gb card, which was fine, but 64gb is even better! i don't do burst shooting, so i can't attest to how quickly it can write, but i noticed no difference in speed between this and the standard card that i had been using."", 'its great for using on my camera and speed is pretty good so cant complain. i just think the price could be little bit more cheaper since there are a lot of generic versions out there !!']"
16,"sandisk is the brand for memory, all of my usb memory thumb drives are. perfect for adding more storage to your phone or your tablet, and as always, is reliable. fast transfers and retrieval of data on phone, especially video shooting.","[""just what i needed for more storage on my phone. don't know why but i've always bought the sandisk brand and always been happy with the product. i have a few of these in varying sizes.deb"", 'allows me to store quite a few movies in my razr. sandisk is the brand for memory, all of my usb memory thumb drives are sandisk..', 'top of the line data storage and expansion. perfect for adding more storage to your phone or your tablet, and as always, sandisk is reliable.', 'fast transfers and retrieval of data on phone, especially video shooting. very easy to find becasue of color difference, all black seems easy to misplace of trading out to adapters and such']"
17,"max transfer speed is only at 18mb s not 30 as advertised. it's very cheap, fast tranfers in the right device and the correct usb port.","[""for the price it was a great buy. i would recommend to all. it has a pretty high transfer rate, and comes with an adapter so you don't have to worry about that."", ""works, works perfectly, super cheap... what's not to love? there are tons of choices and this really does very well at transfer speeds and doubles or more your portable space. couldn't be happier."", 'well, it does work and glad that it is not fake as you would get if you bought from other online stores at 50 a piece. but their max transfer speed is only at 18mb s not 30 as advertised and i have a very decent desktop with usb3 connector.', ""it's very cheap, fast tranfers in the right device and the right usb port. i haven't tested static, etc resistant stuff. if anything happens, i'll update"", 'i love that you can get these things so cheap from amazon, vs. getting them at the major electronic stores for double the price. it works perfectly, and streams downloads uploads very quickly! i love the adapter that comes with it, too so i can use it for transferring files from a computer notebook faster than a 3.0 usb thumbdrive dongle. great buy!']"
18,"bought it when the price was low. good transfer speeds and worked on my phone, camera and other devices as well. have worked with it for around 2 months now.","['bought it when the price was low. excellent value. good transfer speeds and worked on my phone, camera and other devices as well.', 'fast and reliable. have worked with it for around 2 months now and nothing to complain about.good fit for my asus tf700']"
19,speed is high enough to ply high definition video from it. it works great out of the box and transfer speeds are excellent. i bought it to use with my surface pro.,"['the price is goodthe looking is nicethe speed is goodit came with an adaptershipping speed is excellenti used it with my surface pro samsung galaxy s iii, working good on boththis is a good choice to have', 'excellent product at a great price. i use it with asus transformer pad 700 and it works great. speed is high enough to ply high definition video from it.', 'i was little hesitant to order this initially but turned out to be an excellent product,did a initial test on crystaldiskmark.enjoying it on my asus tf101.the shipping was quick too.', 'correctly priced. i bought it to use with my surface pro. works great out of the box and transfer speeds are excellent.']"
20,"roku3 memory card works great. fast transfer rate, good capacity, and reasonable price. the 32gb card performed like charm in a video streamer in the u.s.","['great memory card. using this along with out roku3. works great. fast transfer rate, good capacity, and reasonable price. what else could you ask for?', 'i could not get this brand of memory card to work in my roku. it would not format correctly. i had to return this for another brand which worked ok.', ""i took advantage of an irresistible offer from amazon, and this 32gb card performed like charm in my roku.i'm very satisfied and suggest to anyone looking for fast micro cards give a look to this one."", 'i used this in a roku 3 video streamer. yes, at this point, the roku 3 will not take advantage of the size, but may in the future. also, the price was right.', ""you can't go wrong on this card. for my roku 2 xs, this is the perfect size. probably over kill actually. but i won't do anything under class 10 and i try to avoid anything under 16 gigs in case i need this card for something else. price was great too, under 15 with free shipping.""]"
21,"the card is very fast for what it is, and it works like a charm. it's the actual amount on it, which is really good. i bought this card in hopes of using it with my ztpad c93 tablet.","[""i don't know, but it's a bunch. this card works great in my nook hd, no problems installing or using it."", 'as stated above, and not a bad price. bought this thing in hopes of using it with my ztpad c93 tablet, and it works like a charm. the card is very fast for what it is and i have not had any problems with it to date.', ""i know what my title says, and it's the actual amount on the card, which is really good. other cards that i own have a greater difference per advertised amount. i use it for my lenovo lynx tablet and it works perfectly.""]"
22,"raspberry pi's are very fast access and not bogged down. the color liked that he didn't have to worry about it getting confused with other microsd cards that she had lying around. it functions as a expected, given that it was made by sandisk these things average about 50 percent of the time.","['these are great little cards and are very fast. the only thing i hate about microsd is that they are so dang small and the slots are spring loaded. i have lost a couple from them shooting across the room.', ""perfect price for the 16gb and class 10. i used these in my raspberry pi's they seem to be very fast access and not bogged down."", ""i liked the color liked that i didn't have to worry about it getting confused with other microsd cards that i had lying around. it functions as i expected, given that it was made by sandisk"", ""these things average about 50 more mbps than your standard microsd. worth the premium? idk. what's your time worth?however i threw a fit and ended up smashing the little guy in half. not too resilient but that's not saying anything about this little guy. the insides look like something out of a halo video game. high technology. just go with 2 16gb's if you have a temper problem and not a huge need for consolidated data."", 'this is my first ultra micro sd card. i like the color which makes them easy to see because i swap them out all the time in my asus tablet. the black ones can be hard to see on the busy desk. the speed is great but that is not why i bought it. i was very impressed with the price on black friday 2013.']"
